Diretorio,Estacao,Ano,Mes,Arquivo.zip,Arquivo_extraido,Tamanho_Bytes,Status,Msg_Erro,Processado
plv,Alto_da_boa_vista,2000,11,dados_pluviometricos_2000.zip,alto_da_boa_vista_200011_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,11,dados_meteorologicos_2000.zip,alto_da_boa_vista_200011_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,12,dados_pluviometricos_2000.zip,alto_da_boa_vista_200012_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,12,dados_meteorologicos_2000.zip,alto_da_boa_vista_200012_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,1,dados_pluviometricos_2001.zip,alto_da_boa_vista_200101_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,1,dados_meteorologicos_2001.zip,alto_da_boa_vista_200101_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,2,dados_pluviometricos_2001.zip,alto_da_boa_vista_200102_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,2,dados_meteorologicos_2001.zip,alto_da_boa_vista_200102_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,3,dados_pluviometricos_2001.zip,alto_da_boa_vista_200103_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,3,dados_meteorologicos_2001.zip,alto_da_boa_vista_200103_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,4,dados_pluviometricos_2001.zip,alto_da_boa_vista_200104_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,4,dados_meteorologicos_2001.zip,alto_da_boa_vista_200104_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,5,dados_pluviometricos_2001.zip,alto_da_boa_vista_200105_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,5,dados_meteorologicos_2001.zip,alto_da_boa_vista_200105_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,6,dados_pluviometricos_2001.zip,alto_da_boa_vista_200106_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,6,dados_meteorologicos_2001.zip,alto_da_boa_vista_200106_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,7,dados_pluviometricos_2001.zip,alto_da_boa_vista_200107_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,7,dados_meteorologicos_2001.zip,alto_da_boa_vista_200107_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,8,dados_pluviometricos_2001.zip,alto_da_boa_vista_200108_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,8,dados_meteorologicos_2001.zip,alto_da_boa_vista_200108_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,9,dados_pluviometricos_2001.zip,alto_da_boa_vista_200109_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,9,dados_meteorologicos_2001.zip,alto_da_boa_vista_200109_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,10,dados_pluviometricos_2001.zip,alto_da_boa_vista_200110_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,10,dados_meteorologicos_2001.zip,alto_da_boa_vista_200110_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,11,dados_pluviometricos_2001.zip,alto_da_boa_vista_200111_Plv.txt,190,SUCESSO,,
